MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Nuestra Lucha Libre,(2018),"
Documentary            ",7.5,"
The daily lives of prominent and revered wrestlers offer us an insight into the characters beneath the masks.","
            
    Stars:
Negro Casas, 
Atlantis, 
Ultimo Guerrero, 
Shigeo Okumura
",29,28,
One Take,(2020),"
Documentary, Music            ",5.7,"
Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.","
    Director:
Manatsanun Phanlerdwongsakul
| 
    Star:
Jiradapa Intajak
",49,85,
LEGO Ninjago: Masters of Spinjitzu: Happy Birthday to You!,(2017 TV Special),"
Animation, Short, Action            ",5.9,"
LEGO Ninjago heroes Kai, Zane, Jay and Cole want to wish you a happy birthday, but they're going to need all their Spinjitzu skills to do it.","
",10,1,
Apenas o Fim,(2008),"
Comedy, Family, Romance            ",6.9,"
A girl decides to leave her boyfriend and run away to an unknown place. Before she leaves, she decides to meet up with him, but they have only one hour to reflect on their time together.","
    Director:
Matheus Souza
| 
    Stars:
Gregório Duvivier, 
Érika Mader, 
Marcelo Adnet, 
Nathalia Dill
",875,80,
Untitled Fernando Meirelles/Netflix Project,,"
Drama            ",,"
Climate change.","
    Director:
Fernando Meirelles
",,,
Zhong ji san guo,(2009–2010),"
Comedy            ",5.3,"
Lifelong friends, Guan Yu (George Hu) and Zhang Fei (David Bo-Yen Lin), who have gotten kicked out of one school after another for starting fights, find themselves hard pressed to find a ...                See full summary »
","
            
    Stars:
Monkey Shao, 
George Hu, 
Jiro Wang, 
Shu Chen
",44,75,
Most High,(2004),"
Drama            ",6.5,"
Set against the backdrop of crystal meth abuse, Most High is a painfully intimate examination of a young man in crisis. Drugs are incidental. Nonjudgmental yet brutally honest, Most High ...                See full summary »
","
    Director:
Marty Sader
| 
    Stars:
Marty Sader, 
Laura Keys, 
Kenyon Robertson, 
Josh Taback
",280,95,
Hummingbird Salamander,,"
Sci-Fi, Thriller            ",,"
A thriller involving bioterrorism, ecoterrorism, and climate change where small actions have drastic, life-changing consequences.","
",,,
Untitled Virunga Project,,,,"
Rangers risking their lives to save Africa's most precious national park and its endangered gorillas.","
",,,
Bangkok Buddies,(2019),"
Comedy, Drama            ",6.8,"
Add a Plot
","
            
    Stars:
Few Vayu Kessuvit, 
Ekapol Deebunmee, 
Max Nuttapong Boonyuen, 
Parm Thanadol Auepong
",15,,
Fary: Hexagone,(2020– ),"
Comedy            ",6.5,"
French comedy phenom Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special.","
            
    Star:
Fary
",113,,
Hi-5 House,(2013– ),"
Family            ",8.1,"
Join your favourite Hi-5 friends in a brand new adventure as they welcome you into their Hi-5 House - it's the place to be... and it's where dreams really can come true! Lauren, Stevie, ...                See full summary »
","
            
    Stars:
Ellen Wright Folan, 
Tanika Anderson, 
Lauren Brant, 
Mary Lascaris
",23,22,
Emergency,(2015– ),"
Reality-TV            ",7.6,"
Take a behind the scenes look at two of Canada's busiest Hospital Emergency Rooms in this reality style series. Follow along with the patients, their families, and hospital staff as they ...                See full summary »
","
",28,22,
Echelon 8,(2009),"
Action, Crime, Drama            ",3.6,"
A new government agency with the right to domestic charter is reformed to prevent another terrorist attack in the United States.","
    Director:
Joe Valenti
| 
    Stars:
David Wenzel, 
Rick Lohman, 
Russell Friedenberg, 
Allan Walker
",126,118,
Project Mc²: Happy Birthday to You!,(2017 TV Special),"
Short            ",,"
McKeyla and the agents of NOV8 have chosen you for a special secret mission, and A.D.I.S.N. is here to deliver the clues.","
",,3,
Dave Chappelle: Redemption Song,(2021 Video),"
Short, Comedy            ",,"
Add a Plot
","
            
    Star:
Dave Chappelle
",,10,
Parallel,(XIII),"
Sci-Fi            ",,"
It involves a man and woman who traffic in high-end crimes in parallel universes suddenly meeting, a development that threatens their boss. Determined to outrun their fates, they fight across different realities to find one to survive.","
",,,
Moving Art: Forests,(2014 TV Short),"
Documentary, Short            ",8.3,"
Viewers will marvel at the majesty of nature's gentle giants as filmmaker Louie Schwartzberg journeys to the Redwood Coast and Olympic National Park.","
    Director:
Louie Schwartzberg
",197,25,
Tusk,(IV),"
Adventure, Family            ",,"
Two kids find what they believe is a unicorn in the woods and must protect it from being hunted.","
",,,
Meruhen Medohen,(2018– ),"
Animation, Fantasy            ",3.1,"
When the two girls meet, magic begins. Hazuki Kagimura loves stories, an orthodox girl who is overly imaginative. Because her relationship with her new family does not go well, the ...                See full summary »
","
            
    Stars:
Tomori Kusunoki, 
Lynn, 
Rie Suegara
",47,23,
Beat Bugs: Happy Birthday to You!,(2017 TV Special),"
Animation, Short            ",,"
They say it's your birthday - and there's no one better than the Beat Bugs to serenade you with a festive Beatles tune.","
",,1,
Chulchulhan yeoja,(2013– ),"
Comedy, Drama, Romance            ",7.3,"
Jae-young is a woman in her 30's, recently coming out of a long term relationship, working on a job that doesn't really fulfill her. Looking for what she really wants in life, she starts with the basics, food.","
            
    Stars:
Hee-bon Park, 
Woo-Jung Lee, 
Jong-hwan Park, 
Teo Yoo
",58,,
Notes on Love,,"
Drama            ",,"
Collection of Stories Centering On Marriage By Iconic Creatives Including Norman Lear and Aaron Shure, Steve Martin, Diane Warren, Jenny Han, Lindy West and Ahamefule J. Oluo, and Shonda Rhimes.","
",,,
Afonso Padilha: Alma de Pobre,(2020 TV Special),"
Comedy            ",6.8,"
Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.","
    Directors:
Rudge Campos, 
Junior Carelli
| 
    Star:
Afonso Padilha
",150,63,
D.L. Hughley: Contrarian,(2018 TV Special),"
Comedy            ",6.6,"
Hughley keeps his audience in hysterics as he tells it like it is about the hypocrisy of racism in America, being a man during the #MeToo movement, why cell phones are ruining relationships, and parents who don't follow warning signs.","
    Director:
Jay Chapman
| 
    Star:
D.L. Hughley
",561,58,
Harith Iskander: I Told You So,(2018 TV Special),"
Comedy            ",4.6,"
Malaysian stand-up comedy icon, Harith Iskander, takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more.","
    Director:
Michael McKay
| 
    Star:
Harith Iskander
",155,61,
Finding Home,(2014),"
Documentary, Drama            ",7.9,"
Follows the lives of three young Cambodian women who were victims of sex trafficking at a young age. Experience these girls heartaches and hopes as they struggle to go from victim to survivor.","
    Director:
Derek Hammeke
| 
    Star:
Stephanie Freed
",216,118,
Sunshine Scouts,,"
Comedy            ",,"
A group of teenage girls survive the apocalypse while at summer camp and must weather the fallout to survive.","
",,,
Unbreakable Kimmy Schmidt: Season 2 for Your Consideration Featurette,(2016 TV Movie),,5.8,"
Add a Plot
","
            
    Stars:
Drew Beasley, 
Sammy Voit, 
Alberto Vazquez
",10,,
Livet i 8 bitar,(2002),"
Comedy            ",4.8,"
The story of J whose goal is to be world master at playing Nintendo. He struggles with his traditional Jewish family and non-Jewish girlfriend who demand that he grow up and get a job. Real...                See full summary »
","
    Directors:
Pontus Klänge, 
Jonathan Metzger
| 
    Stars:
Sunil Munshi, 
Jan Malmsjö, 
Kjell Bergqvist, 
Bojan Westin
",860,85,
Monty Python: Before the Flying Circus,(2008 TV Movie),"
Documentary            ",7.3,"
The pre-Monty Python years of the six members of the group. Covers their school and university days, their first individual forays into comedy, how the parts slowly came together and Monty Python's eventual formation.","
    Director:
Will Yapp
| 
    Stars:
Robert Bathurst, 
Eric Idle, 
John Cleese, 
Terry Jones
",157,55,
Rhyme Time Town Singalongs,(2020– ),"
Animation, Family            ",8.3,"
Add a Plot
","
            
    Stars:
Maddie Evans, 
Antonio Mattera
",16,,
Sarah Geronimo: This 15 Me,(2019),"
Documentary, Music            ",4.3,"
Celebrating 15 years in showbiz, powerhouse vocalist Sarah Geronimo performs original hits and contemporary favorites at the Araneta Coliseum.","
    Director:
Paul Alexei Basinillo
| 
    Star:
Sarah Geronimo
",11,113,
Mai,(2020– ),"
Crime            ",,"
A docile, 47-year-old wife-and-mother, Sheel, who finds herself accidentally sucked into a rabbit hole of violence and power within the world of white collar crime and politics.","
",,,
Kyouen NG,(2020),"
Comedy, Romance            ",6.3,"
Add a Plot
","
            
    Stars:
Lily Franky, 
Keisuke Horibe, 
Yoshihiko Hosoda, 
Fujiko Kojima
",7,,
The Whistler,(2006),"
Crime, Horror            ",5.3,"
When a no-good band of thugs enter a quiet small town to unleash their terror, nothing could prepare them for the wrath of a gentle giant who would defend the honor of his one true love to the end of his life, and beyond.","
    Director:
Kenyon Grey
| 
    Stars:
John Dobradenka, 
Cathy Rankin, 
Derek laKeith Martin, 
Nita Marquez
",81,76,
All Hail King Julien: Happy Birthday to You!,(2017 TV Special),"
Animation, Short            ",4.4,"
Nobody parties like King Julien. And today he's putting on a rockin' show to celebrate YOU (and himself, too). Get ready for some sweet and sassy fun.","
",7,1,
Cedric the Entertainer: Live from the Ville,(2016 TV Special),"
Comedy            ",6.0,"
Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""","
    Director:
Troy Miller
| 
    Stars:
Cedric the Entertainer, 
Tennessee State University Marching Band
",663,60,
Huntin' Buddies,(2008 Video),"
Comedy            ",7.4,"
Country legend Mel Tillis, ""Green Acres"" alum Tom Lester and silly man supreme Tim Conway provide a crash course in how not to hunt in this hilarious send up of the sporting life that lands...                See full summary »
","
    Director:
Wayne Berry
| 
    Stars:
Tom Lester, 
Mel Tillis, 
Tim Conway, 
Gary Ray Moore
",19,51,
Dinotrux: Happy Birthday to You!,(2017 TV Special),"
Animation, Short            ",,"
Ty and the rest of the Dinotrux just found out it's your birthday, and the whole crater is coming together to make sure you have an awesome day.","
",,1,
Paboo & Mojies,(II) (2012–2019),"
Animation, Action, Adventure            ",,"
Paboo is a young yet curious panda boy who lives in a magical land called Mojies Town. One day, he found a magical book up the Moji Tree and decides to get it. After he got the book, a ...                See full summary »
","
            
    Stars:
Johnny Yong Bosch, 
Kathleen Barr, 
Shannon Chan-Kent, 
Michael Daingerfield
",,,
Chicken Soup for the Soul's Being Dad,(2018– ),"
Reality-TV            ",,"
Add a Plot
","
            
    Stars:
Elvis Daly, 
Quattro Daly, 
Zeke Daly, 
Eddie Spaghetti
",,,
Gina Yashere: Skinny B*tch,(2008 TV Special),"
Documentary, Comedy            ",6.4,"
Live DVD from Last Comic Standing star, Gina Yashere.","
    Director:
Paul M. Green
| 
    Star:
Gina Yashere
",70,58,
Big in Bollywood,(2011),"
Documentary            ",7.8,"
27-year-old American-born Omi Vaidya, a struggling actor in L.A., miraculously lands a dream role in the Bollywood film ""3 Idiots"". Curious to better understand the world of Bollywood, four...                See full summary »
","
    Directors:
Bill Bowles, 
Kenny Meehan
| 
    Stars:
Omi Vaidya, 
Vidhu Vinod Chopra, 
Kevin Desmond, 
Rajkumar Hirani
",101,69,
Roscoe's House of Chicken n Waffles,(2004 Video),"
Comedy            ",4.0,"
To save the live of his friend Roscoe from the clutches of organized criminals, Clyde must devise a way to create a world-class recipe and then turn a struggling cafe into a legendary soul-food restaurant.","
    Director:
Kennedy Goldsby
| 
    Stars:
Glenn Plummer, 
Anthony Johnson, 
Clifton Powell, 
Crystal Dawne
",63,90,
Vaquero,(2011),"
Drama            ",6.4,"
The story of Julián Lamar, an Argentine actor who tries to get a part in a North American western that will be shot in Argentina.","
    Director:
Juan Minujín
| 
    Stars:
Juan Minujín, 
Guillermo Arengo, 
Daniel Fanego, 
Pilar Gamboa
",221,87,
Todd Barry: Spicy Honey,(2017 TV Special),"
Comedy            ",6.8,"
With bone-dry wit, stand-up comic Todd Barry dissects texting emergencies, Hitler's taste in wine, pricey soap, cheap pizza and much more.","
    Director:
Jay Chapman
| 
    Star:
Todd Barry
",779,60,
